molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,value
CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,870000.0,inactive,870.0
CHEMBL393608,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,200000.0,inactive,200.0
CHEMBL238216,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,300000.0,inactive,300.0
CHEMBL235873,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,15000.0,inactive,15.0
CHEMBL397154,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,10000.0,inactive,10.0
CHEMBL238217,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,80000.0,inactive,80.0
CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,800000.0,inactive,800.0
CHEMBL492571,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,5400.0,intermediate,5.4
CHEMBL522710,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,11000.0,inactive,11.0
CHEMBL492771,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,13600.0,inactive,13.6
CHEMBL492771,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,24400.0,inactive,24.4
CHEMBL492772,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccc(Cl)cc1,28700.0,inactive,28.7
CHEMBL492768,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,39900.0,inactive,39.9
CHEMBL492768,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,41300.0,inactive,41.3
CHEMBL492769,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccc(Cl)cc2)cc1,50000.0,inactive,50.0
CHEMBL492770,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1,50000.0,inactive,50.0
CHEMBL499444,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccccc1,50000.0,inactive,50.0
CHEMBL492772,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccc(Cl)cc1,50000.0,inactive,50.0
CHEMBL492571,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,50000.0,inactive,50.0
CHEMBL522710,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,50000.0,inactive,50.0
CHEMBL492769,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccc(Cl)cc2)cc1,50000.0,inactive,50.0
CHEMBL492770,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1,50000.0,inactive,50.0
CHEMBL499444,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccccc1,50000.0,inactive,50.0
CHEMBL221366,O=C(Oc1cccnc1)c1cccs1,500.0,active,0.5
CHEMBL541163,CCN1/C(=C\C=C\c2sc3ccc(-c4nc5ccccc5s4)cc3[n+]2CC)Sc2ccc(-c3nc4ccccc4s3)cc21.[Cl-],2500.0,intermediate,2.5
CHEMBL540403,CCN1C(c2ccccc2)=C(c2ccccc2)S/C1=C/C=C/c1sc2c3ccccc3ccc2[n+]1CC.[Cl-],3800.0,intermediate,3.8
CHEMBL518593,C(\C1=C2Sc3ccccc3N2CC1)=C1/CC[n+]2c1sc1ccccc12,10500.0,inactive,10.5
CHEMBL478119,CCN1/C(=C\C=C\C2=C/C(=C/c3sc4ccccc4[n+]3CC)CC(C)C2)Sc2ccccc21,2000.0,intermediate,2.0
CHEMBL558828,CCC(=C\c1sc2cc(C)c(C)cc2[n+]1CC)/C=C1/Sc2cc(/C=C/c3ccccc3)ccc2N1CC.[Cl-],6600.0,intermediate,6.6
CHEMBL478987,CCN1/C(=C\C=c2/s/c(=C\c3sc4ccccc4[n+]3CC)n(CC)c2=O)Sc2ccccc21,10000.0,inactive,10.0
CHEMBL479172,CCC(=C\c1sc2c3ccccc3ccc2[n+]1CC)/C=C1/Sc2cc(C)c(C)cc2N1CC,5400.0,intermediate,5.4
CHEMBL515787,CCN1/C(=C\C(=C/c2sc3ccccc3[n+]2CCCS(=O)(=O)[O-])OC)Sc2ccc(OC)cc21,7300.0,intermediate,7.3
CHEMBL549646,O=c1cc(CNCc2ccc(Cl)cc2)oc2ccc(O)c(O)c12,50000.0,inactive,50.0
CHEMBL549646,O=c1cc(CNCc2ccc(Cl)cc2)oc2ccc(O)c(O)c12,50000.0,inactive,50.0
CHEMBL560136,O=c1cc(CNCc2cccc(Cl)c2)oc2ccc(O)c(O)c12,50000.0,inactive,50.0
CHEMBL560136,O=c1cc(CNCc2cccc(Cl)c2)oc2ccc(O)c(O)c12,50000.0,inactive,50.0
CHEMBL560392,N#Cc1cccc(CNCc2cc(=O)c3c(O)c(O)ccc3o2)c1,50000.0,inactive,50.0
CHEMBL560392,N#Cc1cccc(CNCc2cc(=O)c3c(O)c(O)ccc3o2)c1,50000.0,inactive,50.0
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,50000.0,inactive,50.0
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,8100.0,intermediate,8.1
CHEMBL556501,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(O)cc(O)c12,50000.0,inactive,50.0
CHEMBL556501,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(O)cc(O)c12,50000.0,inactive,50.0
CHEMBL550256,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,20900.0,inactive,20.9
CHEMBL550256,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,4100.0,intermediate,4.1
CHEMBL551130,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,50000.0,inactive,50.0
CHEMBL551130,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,5200.0,intermediate,5.2
CHEMBL551131,N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)c1,25400.0,inactive,25.4
CHEMBL551131,N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)c1,2700.0,intermediate,2.7
CHEMBL551334,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,50000.0,inactive,50.0
CHEMBL551334,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,9300.0,intermediate,9.3
CHEMBL560933,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,50000.0,inactive,50.0
CHEMBL560933,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,15400.0,inactive,15.4
CHEMBL551529,N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc5c(c4)OCO5)oc3c2)c1,42900.0,inactive,42.9
CHEMBL551529,N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc5c(c4)OCO5)oc3c2)c1,8100.0,intermediate,8.1
CHEMBL1448,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,40000.0,inactive,40.0
CHEMBL301982,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@@]21C,10300.0,inactive,10.3
CHEMBL54804,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,5500.0,intermediate,5.5
CHEMBL432519,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC(=O)[C@H](C)C[C@H]4[C@]3(C)CC[C@@]21C,9900.0,intermediate,9.9
CHEMBL1092796,CC1=CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,2600.0,intermediate,2.6
CHEMBL1092797,Cc1c(O)c(O)cc2c1CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@]12C,21700.0,inactive,21.7
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,23500.0,inactive,23.5
CHEMBL1277944,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccccc3)N=C2c2ccccc2)cc1,18000.0,inactive,18.0
CHEMBL1278125,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)cc3)N=C2c2ccccc2)cc1,13900.0,inactive,13.9
CHEMBL1276871,COc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,12000.0,inactive,12.0
CHEMBL1277046,N#Cc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,5500.0,intermediate,5.5
CHEMBL1277047,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(OC(F)(F)F)cc3)N=C2c2ccccc2)cc1,42000.0,inactive,42.0
CHEMBL1277135,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc(Cl)c3)N=C2c2ccccc2)cc1,10800.0,inactive,10.8
CHEMBL1277136,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)c(Cl)c3)N=C2c2ccccc2)cc1,24300.0,inactive,24.3
CHEMBL1277227,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(F)cc3)N=C2c2ccccc2)cc1,6800.0,intermediate,6.8
CHEMBL1277228,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc([N+](=O)[O-])c3)N=C2c2ccccc2)cc1,8400.0,intermediate,8.4
CHEMBL197310,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CO)[C@@H]1CC2,220800.0,inactive,220.8
CHEMBL1277661,CC(C)c1cc2c(cc1O)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC2,233400.0,inactive,233.4
CHEMBL197308,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,49600.0,inactive,49.6
CHEMBL1277662,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(C=O)[C@@H]1CC2,163200.0,inactive,163.2
CHEMBL1277754,CC(=O)Oc1cc2c(cc1C(C)C)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CO,128900.0,inactive,128.9
CHEMBL12798,COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,207000.0,inactive,207.0
CHEMBL512164,C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]23C)C1,283500.0,inactive,283.5
CHEMBL1277840,C=C1CC[C@H]2[C@](C)(CO)CCC[C@]2(C)[C@H]1CC/C(C)=C\CO,137700.0,inactive,137.7
CHEMBL63354,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,8300.0,intermediate,8.3
CHEMBL378188,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,72300.0,inactive,72.3
CHEMBL377324,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,32000.0,inactive,32.0
CHEMBL208908,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4OC)c3o2)cc1,38400.0,inactive,38.4
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,280800.0,inactive,280.8
CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,20000.0,inactive,20.0
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,23800.0,inactive,23.8
CHEMBL71893,CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1,189100.0,inactive,189.1
CHEMBL1774322,Nc1nc(CSc2nnc(-c3cccc4ccccc34)n2-c2ccccc2)cs1,58350.0,inactive,58.35
CHEMBL1774323,COc1cc(C2C(C(=O)c3ccc(OCC(C)C)cc3C)=C(O)C(=O)N2CCN(C)C)ccc1O,62790.0,inactive,62.79
CHEMBL1774324,Cc1nc(C)c(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2cccc([N+](=O)[O-])c2)s1,101380.0,inactive,101.38
CHEMBL1774325,COc1cc(/C=N/NC(=O)/C(=C\c2ccccc2)NC(=O)c2ccccc2)cc(OC)c1O,77090.0,inactive,77.09
CHEMBL1774326,O=C(CSc1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3)NCc1ccco1,90720.0,inactive,90.72
CHEMBL1350514,Cc1ccc(C(=O)N/C(=C\c2ccc(-c3cccc([N+](=O)[O-])c3)o2)C(=O)NCCCN(C)C)cc1,38570.0,inactive,38.57
CHEMBL1315054,Cc1ccc(C(=O)N/C(=C\c2ccc(-c3ccccc3[N+](=O)[O-])o2)C(=O)NCCCN(C)C)cc1,41390.0,inactive,41.39
CHEMBL2316336,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)OCc1ccccc1)[C@@H](C)O)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,39000.0,inactive,39.0
CHEMBL2316337,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,4600.0,intermediate,4.6
CHEMBL2316338,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,49000.0,inactive,49.0
CHEMBL2316339,Cc1cc(C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)CCC(N)=O)C(C)C)no1,49000.0,inactive,49.0
CHEMBL473159,Oc1cc(O)cc(O)c1,200000.0,inactive,200.0
CHEMBL459393,Oc1cc(O)c(Oc2cc(O)cc(O)c2Oc2cc(O)cc(O)c2-c2c(O)cc(O)cc2O)c(O)c1,177100.0,inactive,177.1
CHEMBL510508,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc4oc5c(Oc6cc(O)cc(O)c6)c(O)cc(O)c5c4c2O3)c1,174600.0,inactive,174.6
CHEMBL2391422,Oc1cc(O)cc(Oc2c(O)cc(Oc3c(O)cc(O)cc3O)cc2O)c1,164700.0,inactive,164.7
CHEMBL559870,Oc1cc(O)c2oc3cc(O)c4oc5cc(O)cc(O)c5oc4c3oc2c1,158300.0,inactive,158.3
CHEMBL559870,Oc1cc(O)c2oc3cc(O)c4oc5cc(O)cc(O)c5oc4c3oc2c1,146500.0,inactive,146.5
CHEMBL40275,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,132000.0,inactive,132.0
CHEMBL2391423,Oc1cc(O)cc(Oc2c(Oc3c(O)cc(O)cc3O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,112200.0,inactive,112.2
CHEMBL456228,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(O)cc4O)cc2O3)c1,112000.0,inactive,112.0
CHEMBL8145,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,105000.0,inactive,105.0
